,cid,cidname,brand,model,funcid,target,target_ratings,target_rank,target_pos,target_neu,target_neg,target_total,target_rate,target_rate_rank
128,2019070912,果冻/布丁,凯基宁,黄金百香果味果冻,3443,包装,94.09,56,36,2,0,38,0.9473684210526315,111
615,2019070912,果冻/布丁,优洽,红果冻,3443,包装,92.71,73,71,2,2,75,0.9466666666666667,112
424,2019070912,果冻/布丁,乖乖瘦,酵素果冻,3444,味道,91.97,74,142,1,7,150,0.9466666666666667,93
901,2019070912,果冻/布丁,萌萌星,萌萌星组合,3444,味道,89.96,94,88,0,5,93,0.946236559139785,94
966,2019070912,果冻/布丁,广元堂,SOSO酵素果冻,3448,功能,93.27,49,457,2,24,483,0.9461697722567288,62
479,2019070912,果冻/布丁,优洽,SOSO果冻,3454,外观,89.62,11,35,1,1,37,0.9459459459459459,3
723,2019070912,果冻/布丁,网易严选,1108028,3445,质量,92.59,80,70,2,2,74,0.9459459459459459,117
40,2019070912,果冻/布丁,sx/世熙堂,酵素果冻,3444,味道,92.96,59,310,2,16,328,0.9451219512195121,95
309,2019070912,果冻/布丁,christine/克莉丝汀,套装,3443,包装,85.72,125,34,0,2,36,0.9444444444444444,113
160,2019070912,果冻/布丁,旺旺,蒟篛果冻,3447,性价比,93.77,30,84,3,2,89,0.9438202247191011,21
112,2019070912,果冻/布丁,larbee/蜡笔小新,鲜Q果冻爽150G*8包,3444,味道,93.47,55,352,4,17,373,0.9436997319034852,96
148,2019070912,果冻/布丁,easy fun,零卡果冻,3443,包装,91.34,91,117,1,6,124,0.9435483870967742,114
756,2019070912,果冻/布丁,佰思宜,圣诞节礼包,3444,味道,92.29,70,150,2,7,159,0.9433962264150944,97
656,2019070912,果冻/布丁,徐福记,C的酷,3447,性价比,94.69,21,100,4,2,106,0.9433962264150944,22
727,2019070912,果冻/布丁,惠尔康,优の冻组合装,3443,包装,87.52,112,50,0,3,53,0.9433962264150944,115
616,2019070912,果冻/布丁,优洽,红果冻,3444,味道,92.31,69,149,2,7,158,0.9430379746835443,98
425,2019070912,果冻/布丁,乖乖瘦,酵素果冻,3445,质量,87.33,118,49,0,3,52,0.9423076923076923,118
35,2019070912,果冻/布丁,都乐梦,慕斯,3444,味道,91.81,77,98,2,4,104,0.9423076923076923,99
349,2019070912,果冻/布丁,百食驿,酵素果冻,3447,性价比,92.29,40,49,2,1,52,0.9423076923076923,23
415,2019070912,果冻/布丁,梦雨果,JSGD001,3448,功能,90.64,63,146,0,9,155,0.9419354838709677,63
